latitude,longitude,frp,confidence,acq_date,acq_time,in_industrial_zone,facility_id,facility_name,distance_km,safe_radius_km,has_flare_stacks,expected_baseline_min_mw,expected_baseline_max_mw,classification,risk_level,analysis,recommended_action,color_code,is_emergency,Lat,Lon,Radiative Power (FRP),System Analysis,Risk Priority Tag
37.9358,-122.3477,48.0,nominal,2026-09-08,210,False,N/A,None / Non-Industrial Land,12624.64,3.5,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (48.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,37.9358,-122.3477,48.0,Accidental wildland vegetation burn (48.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
56.7264,-111.3803,175.0,high,2026-09-08,130,False,N/A,None / Non-Industrial Land,11065.98,3.5,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (175.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,56.7264,-111.3803,175.0,Accidental wildland vegetation burn (175.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
26.64,50.16,215.0,high,2026-09-08,1200,False,N/A,None / Non-Industrial Land,2062.79,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (215.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,26.64,50.16,215.0,Accidental wildland vegetation burn (215.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
27.005,49.658,145.0,high,2026-09-08,1215,False,N/A,None / Non-Industrial Land,2118.33,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (145.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,27.005,49.658,145.0,Accidental wildland vegetation burn (145.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
30.5081,47.7835,380.0,high,2026-09-08,1340,False,N/A,None / Non-Industrial Land,2384.63,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (380.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,30.5081,47.7835,380.0,Accidental wildland vegetation burn (380.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
24.11,52.73,88.0,nominal,2026-09-08,1410,False,N/A,None / Non-Industrial Land,1778.07,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (88.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,24.11,52.73,88.0,Accidental wildland vegetation burn (88.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
25.9,51.53,160.0,high,2026-09-08,1500,False,N/A,None / Non-Industrial Land,1915.94,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (160.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,25.9,51.53,160.0,Accidental wildland vegetation burn (160.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
-20.65,116.7,75.0,nominal,2026-09-08,1820,False,N/A,None / Non-Industrial Land,5473.66,3.5,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (75.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,-20.65,116.7,75.0,Accidental wildland vegetation burn (75.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
-33.715,150.3114,240.0,high,2026-09-08,1940,False,N/A,None / Non-Industrial Land,9043.52,3.5,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (240.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,-33.715,150.3114,240.0,Accidental wildland vegetation burn (240.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
4.85,6.9,310.0,high,2026-09-08,1710,False,N/A,None / Non-Industrial Land,7047.66,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (310.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,4.85,6.9,310.0,Accidental wildland vegetation burn (310.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
-23.95,-46.33,92.0,nominal,2026-09-08,2015,False,N/A,None / Non-Industrial Land,13570.25,5.0,False,0.0,0.0,VEGETATION / BRUSHFIRE,MEDIUM RISK (Forestry Notification),Accidental wildland vegetation burn (92.0 MW) in open/rural corridor.,Notify State Forest Department & Local Fire Station.,#ffb62e,False,-23.95,-46.33,92.0,Accidental wildland vegetation burn (92.0 MW) in open/rural corridor.,MEDIUM RISK (Forestry Notification)
